id,kode_kecamatan,nama_kecamatan,kab_kota_id
3506010,010,MOJO,3506
3506020,020,SEMEN,3506
3506030,030,NGADILUWIH,3506
3506040,040,KRAS,3506
3506050,050,RINGINREJO,3506
3506060,060,KANDAT,3506
3506070,070,WATES,3506
3506080,080,NGANCAR,3506
3506090,090,PLOSOKLATEN,3506
3506100,100,GURAH,3506
3506110,110,PUNCU,3506
3506120,120,KEPUNG,3506
3506130,130,KANDANGAN,3506
3506140,140,PARE,3506
3506141,141,BADAS,3506
3506150,150,KUNJANG,3506
3506160,160,PLEMAHAN,3506
3506170,170,PURWOASRI,3506
3506180,180,PAPAR,3506
3506190,190,PAGU,3506
3506191,191,KAYEN KIDUL,3506
3506200,200,GAMPENGREJO,3506
3506201,201,NGASEM,3506
3506210,210,BANYAKAN,3506
3506220,220,GROGOL,3506
3506230,230,TAROKAN,3506
