id,kode_kel_desa,nama_kel_desa,kecamatan_id
3506010001,001,NGETREP,3506010
3506010002,002,NGADI,3506010
3506010003,003,KRANDING,3506010
3506010004,004,MAESAN,3506010
3506010005,005,PONGGOK,3506010
3506010006,006,PETUNGROTO,3506010
3506010007,007,PAMONGAN,3506010
3506010008,008,KEDAWUNG,3506010
3506010009,009,PLOSO,3506010
3506010010,010,TAMBIBENDO,3506010
3506010011,011,KRATON,3506010
3506010012,012,BLIMBING,3506010
3506010013,013,JUGO,3506010
3506010014,014,MOJO,3506010
3506010015,015,MLATI,3506010
3506010016,016,SURAT,3506010
3506010017,017,SUKOANYAR,3506010
3506010018,018,KENITEN,3506010
3506010019,019,MONDO,3506010
3506010020,020,PETOK,3506010
3506020001,001,SELOPANGGUNG,3506020
3506020002,002,PUHRUBUH,3506020
3506020003,003,SIDOMULYO,3506020
3506020004,004,BULU,3506020
3506020005,005,BOBANG,3506020
3506020006,006,PUHSARANG,3506020
3506020007,007,KANYORAN,3506020
3506020008,008,JOHO,3506020
3506020009,009,PAGUNG,3506020
3506020010,010,KEDAK,3506020
3506020011,011,TITIK,3506020
3506020012,012,SEMEN,3506020
3506030001,001,TALES,3506030
3506030002,002,SLUMBUNG,3506030
3506030003,003,BRANGGAHAN,3506030
3506030004,004,SEKETI,3506030
3506030005,005,BANGGLE,3506030
3506030006,006,NGADILUWIH,3506030
3506030007,007,PURWOKERTO,3506030
3506030008,008,DUKUH,3506030
3506030009,009,REMBANGKEPUH,3506030
3506030010,010,BEDUG,3506030
3506030011,011,REMBANG,3506030
3506030012,012,BADAL,3506030
3506030013,013,BADAL PANDEAN,3506030
3506030014,014,WONOREJO,3506030
3506030015,015,BANJAREJO,3506030
3506030016,016,MANGUNREJO,3506030
3506040001,001,SETONOREJO,3506040
3506040002,002,PELAS,3506040
3506040003,003,BLEBER,3506040
3506040004,004,REJOMULYO,3506040
3506040005,005,MOJOSARI,3506040
3506040006,006,BUTUH,3506040
3506040007,007,JABANG,3506040
